experiment,auc,sensitivity,specificity,f1,accuracy,threshold
mean_imputation_youden,0.8826530612244898,0.9285714285714286,0.7857142857142857,0.8666666666666667,0.8571428571428571,0.5734516308275415
mean_imputation_0.5,0.8826530612244898,1.0,0.21428571428571427,0.717948717948718,0.6071428571428571,0.5
zero_imputation_youden,0.8928571428571429,0.9285714285714286,0.7857142857142857,0.8666666666666667,0.8571428571428571,0.4352021204653994
